NAME,LAT,LON
VANCE AFB                      ,36.740617,-98.127717
LOS ANGELES                    ,34.412017,-119.17875
EVANSVILLE                     ,38.26025,-87.724528
YUMA                           ,32.495281,-114.65671
LAJES AB                       ,38.73028,-27.32167
BETHEL FAA                     ,60.791944,-161.87638
SITKA                          ,56.852778,-135.52916
NOME                           ,64.511389,-165.295
ANCHORAGE                      ,60.725914,-151.35146
MIDDLETON ISLAND               ,59.460767,-146.30344
KING SALMON                    ,58.679444,-156.62944
FAIRBANKS                      ,65.035114,-147.50143
ANDERSEN AFB AGANA             ,13.455833,144.811111
SOUTH KAUAI                    ,21.893889,-159.5525
KAMUELA                        ,20.125278,-155.77777
MOLOKAI                        ,21.132778,-157.18027
SOUTH SHORE                    ,19.095,-155.56888
KUNSAN                         ,35.924167,126.622222
CAMP HUMPHREYS                 ,37.207569,127.285561
KADENA                         ,26.3078,127.903469
ANDREWS AFB                    ,38.695,-76.845
ATLANTA                        ,33.646944,-84.261944
NASHVILLE                      ,35.98,-86.661944
BOSTON                         ,42.158056,-70.933056
BALTIMORE WASHINGTON           ,39.09,-76.63
CHARLOTTE                      ,35.336944,-80.885
COLUMBUS                       ,40.006111,-82.715
COVINGTON                      ,38.898056,-84.58
DALLAS LOVE FIELD              ,32.926111,-96.968056
DAYTON                         ,40.021944,-84.123056
WASHINGTON NATIONAL            ,38.758889,-76.961944
DENVER                         ,39.728056,-104.52611
DALLAS FT WORTH                ,33.065,-96.918056
DETROIT                        ,42.111111,-83.515
NEWARK                         ,40.593056,-74.27
FT LAUDERDALE                  ,26.143056,-80.343889
HOUSTON HOBBY                  ,29.516111,-95.241944
WASHINGTON DULLES              ,39.083889,-77.528889
HOUSTON INTERNATIONAL          ,30.065,-95.566944
WICHITA                        ,37.506944,-97.436944
INDIANAPOLIS                   ,39.636944,-86.436111
RAFAEL HERNANDEZ AIRPORT       ,18.485,-67.143
NEW YORK CITY JFK              ,40.588889,-73.881111
JOSE APONTE DE LA TORRE AIRPOR ,18.256,-65.637
SAN JUAN                       ,18.115667,-66.078167
LAS VEGAS                      ,36.143889,-115.00694
CLEVELAND                      ,41.29,-82.008056
KANSAS CITY                    ,39.498056,-94.741944
ORLANDO INTERNATIONAL          ,28.343889,-81.326111
CHICAGO MIDWAY                 ,41.651111,-87.73
MEMPHIS                        ,34.896111,-89.993056
MIAMI                          ,25.758056,-80.491111
MILWAUKEE                      ,42.818889,-88.046111
MINNEAPOLIS                    ,44.871111,-92.933056
NEW ORLEANS                    ,30.021944,-90.403056
NORMAN WFO                     ,35.276111,-97.51
CHICAGO OHARE                  ,41.796944,-87.858056
WEST PALM BEACH                ,26.688056,-80.273056
PHILADELPHIA                   ,39.948889,-75.068889
PHOENIX                        ,33.421111,-112.16305
PITTSBURGH                     ,40.501111,-80.486111
RALEIGH                        ,36.001944,-78.696944
LOUISVILLE                     ,38.046111,-85.61
SAN JUAN                       ,18.473889,-66.178889
SALT LAKE CITY                 ,40.966944,-111.93
ST LOUIS                       ,38.805,-90.488889
TAMPA                          ,27.86,-82.518056
TULSA                          ,36.071111,-95.826944
